headline,rank,scraped_at,source,topic_name
Trump Russia hoax was a diversion from Clinton campaign's 'real wrongdoing',18,2022-02-15 18:00:57.102858+00:00,foxnews,Clinton Hillary Media Trump Russia
Biden admin describes brutal Russian invasion scenario and issues grim warning to Americans,24,2022-02-13 18:00:43.275529+00:00,foxnews,Biden Warns Ukraine
Biden-Zelenskyy call reaffirms commitment to diplomacy and deterrence: LIVE UPDATES,25,2022-02-13 18:00:43.275529+00:00,foxnews,Putin Mistake Underestimated Make
Hillary's past back to haunt her after now-debunked Trump-Russia claims,27,2022-02-13 18:00:43.275529+00:00,foxnews,Clinton Hillary Media Trump Russia
Biden Sees ‘Very High’ Threat of Russian Invasion of Ukraine,0,2022-02-17 07:00:57.555906+00:00,nytimes,Biden Warns Ukraine
"In Phone Call, Biden Warns Putin of ‘Severe’ Costs of Invading Ukraine",0,2022-02-12 18:00:41.681346+00:00,nytimes,Biden Warns Ukraine
"As Russia Welcomes Talks, Biden Warns Invasion Is Still Possible",0,2022-02-15 18:00:56.486936+00:00,nytimes,Biden Warns Ukraine
Biden and Putin to Speak as U.S. Orders All but ‘Core Team’ to Leave Ukraine Embassy,0,2022-02-12 07:00:48.773500+00:00,nytimes,Embassy Staff Ukraine
Shelling Raises Fears Ukraine Conflict Is Heating Up,0,2022-02-17 18:00:49.217672+00:00,nytimes,Putin Fears Ukraine Well
Ukraine’s President Tries to Avert Panic as Pressure Mounts,0,2022-02-13 18:00:42.585513+00:00,nytimes,Putin Fears Ukraine Well
"After 30 Years of Peace, Ukraine Crisis Shakes Europeans",1,2022-02-17 07:00:57.555906+00:00,nytimes,Crisis Ukraine
"On the Edge of a Polish Forest, Where Some of Putin’s Darkest Fears Lurk",1,2022-02-16 07:58:42.220826+00:00,nytimes,Putin Fears Ukraine Well
"Finland’s President Sauli Niinisto knows Vladimir Putin of Russia well, and he fears for Ukraine.",1,2022-02-13 18:00:42.585513+00:00,nytimes,Putin Fears Ukraine Well
"See where an estimated 130,000 Russian troops are positioned around Ukraine.",1,2022-02-14 07:00:51.447562+00:00,nytimes,Ukraine Troops Weigh Near
"Amid Evacuations, Russia Tests Missiles in Blunt Warning",1,2022-02-19 16:17:10.815409+00:00,nytimes,Missiles Russia Launches Tests
"Amid Evacuations, Russia Tests Missiles in Blunt Warning",1,2022-02-19 18:00:42.025893+00:00,nytimes,Missiles Russia Launches Tests
Russia’s government expelled the No. 2 U.S. ambassador from the country.,2,2022-02-17 07:00:57.555906+00:00,nytimes,Embassy Staff Ukraine
"A world away from Ukraine, Russia is seeking influence in Latin America.",2,2022-02-15 07:00:52.452706+00:00,nytimes,Crisis Ukraine
Tone of Ukraine Crisis Shifts as Russia Signals Openness to Talk More,2,2022-02-14 18:00:47.786145+00:00,nytimes,Crisis Ukraine
"“A whistling sound, then an explosion”: Our reporter captured the scenes after artillery strikes hit schools in Ukraine.",2,2022-02-17 18:00:49.217672+00:00,nytimes,Ukraine East Cnn Team
Germany is trying to loosen its ties to Russian pipelines amid an energy crunch and increasing belligerence.,2,2022-02-14 07:00:51.447562+00:00,nytimes,Russia Jittery Energy Markets Tensions
Analysis: President Emmanuel Macron of France is gambling that  his diplomacy with Russia could pay off in April elections.,3,2022-02-12 07:00:48.773500+00:00,nytimes,Putin Mistake Underestimated Make
The Russia-Ukraine crisis is shaking a sense of complacency among Europeans after 30 years of peace.,3,2022-02-17 18:00:49.217672+00:00,nytimes,Crisis Ukraine
A Ukraine conflict could alter Europe’s reliance on Russian natural gas.,3,2022-02-15 07:00:52.452706+00:00,nytimes,Russia Jittery Energy Markets Tensions
Business updates: Energy markets are jittery as tensions between Russia and Ukraine drag on.,3,2022-02-14 07:00:51.447562+00:00,nytimes,Russia Jittery Energy Markets Tensions
Energy markets are jittery as tensions between Russia and Ukraine drag on.,3,2022-02-14 18:00:47.786145+00:00,nytimes,Russia Jittery Energy Markets Tensions
"Analysis: If President Vladimir Putin were to invade, he would be inviting a new global struggle with the West.",4,2022-02-19 16:17:10.815409+00:00,nytimes,Putin Analysis Aggressive New
"Analysis: If President Vladimir Putin were to invade, he would be inviting a new global struggle with the West.",4,2022-02-19 18:00:42.025893+00:00,nytimes,Putin Analysis Aggressive New
"See where an estimated 130,000 Russian troops are positioned around Ukraine.",4,2022-02-14 18:00:47.786145+00:00,nytimes,Ukraine Troops Weigh Near
Here’s how Ukraine ended up at the center of a global crisis.,5,2022-02-19 16:17:10.815409+00:00,nytimes,Crisis Ukraine
Here’s how Ukraine ended up at the center of a global crisis.,5,2022-02-19 18:00:42.025893+00:00,nytimes,Crisis Ukraine
‘We Need to Oppose Russia’: Ukrainians Find Common Purpose,5,2022-02-14 18:00:47.786145+00:00,nytimes,Crisis Ukraine
Fears of Imminent Russian Invasion of Ukraine Mount as Diplomacy Stalls,5,2022-02-13 07:00:42.019948+00:00,nytimes,Putin Fears Ukraine Well
He Knows Putin Well. And He Fears for Ukraine.,6,2022-02-13 07:00:42.019948+00:00,nytimes,Putin Fears Ukraine Well
We spoke to residents fleeing separatist-held towns in eastern Ukraine. Many blamed Kyiv for the conflict.,7,2022-02-19 18:00:42.025893+00:00,nytimes,Crisis Ukraine
Is It Funny for the Jews?,18,2022-02-17 18:00:49.217672+00:00,nytimes,Ukrainians Opinion Laughing
We Underestimated Putin Once. We Can’t Make That Mistake Again.,20,2022-02-12 07:00:48.773500+00:00,nytimes,Putin Mistake Underestimated Make
We Underestimated Putin Once. We Can’t Make That Mistake Again.,26,2022-02-12 18:00:41.681346+00:00,nytimes,Putin Mistake Underestimated Make
We Underestimated Putin Once. We Can’t Make That Mistake Again.,26,2022-02-13 07:00:42.019948+00:00,nytimes,Putin Mistake Underestimated Make
America’s Russia Policy Has a Biden Problem,27,2022-02-12 07:00:48.773500+00:00,nytimes,Biden Warns Ukraine
I’m Russian. My Family Is Ukrainian. What Happens to Us if There Is War?,27,2022-02-17 07:00:57.555906+00:00,nytimes,Ukrainians Opinion Laughing
‘This is About the Future of Freedom’: What Does America Owe Ukrainians?,30,2022-02-15 18:00:56.486936+00:00,nytimes,Ukrainians Opinion Laughing
‘This Is About the Future of Freedom’: What Does America Owe Ukrainians?,30,2022-02-16 07:58:42.220826+00:00,nytimes,Ukrainians Opinion Laughing
U.S. pulls out most staff from Ukraine embassy over invasion fears ,13,2022-02-13 07:02:08.978003+00:00,reuters,Embassy Staff Ukraine
U.S. pulls out most staff from Ukraine embassy over invasion fears ,14,2022-02-12 07:02:22.326890+00:00,reuters,Embassy Staff Ukraine
U.S. pulls out most staff from Ukraine embassy over invasion fears ,14,2022-02-13 18:02:11.819970+00:00,reuters,Embassy Staff Ukraine
U.S. pulls out most staff from Ukraine embassy over invasion fears ,17,2022-02-12 18:02:41.815675+00:00,reuters,Embassy Staff Ukraine
UK releases intel on Russian plot in Ukraine,0,2022-01-23 08:00:27.409805+00:00,cnn,Ukraine Russia Russian
Russia's mirror-image depiction of Ukraine showdown,0,2022-01-26 08:00:29.540742+00:00,cnn,Ukraine Russia Russian
Biden cranks up pressure as Putin considers Ukraine invasion,0,2022-01-24 08:00:39.857861+00:00,cnn,Biden Russia Troops Ukraine
"
White House sounds alarm after Russia's plot to establish stronghold in Ukraine reportedly exposed",0,2022-01-23 08:01:09.461015+00:00,foxnews,Ukraine Russia Russian
Biden's secretary of state asked if US troops could be deployed to defend Ukraine from Russian invasion,0,2022-01-23 20:01:26.254078+00:00,foxnews,Biden Russia Troops Ukraine
Britain Says Moscow Is Plotting to Install a Pro-Russian Leader in Ukraine,0,2022-01-23 08:00:12.134036+00:00,nytimes,Ukraine Russia Russian
"Germany Wavers in the Ukraine Standoff, Worrying Its Allies",0,2022-01-26 08:00:12.395938+00:00,nytimes,Ukraine Russia Russian
White House Warnings Over Russia Strain Ukraine-U.S. Partnership,0,2022-01-29 08:00:09.959837+00:00,nytimes,Ukraine Russia Russian
"In Standoff With Putin, Biden Makes Sure European Allies Are With Him",0,2022-01-28 08:00:09.564495+00:00,nytimes,Biden Russia Troops Ukraine
"The President is signaling a stiffened Western stance in the showdown with Russia, a strategy that nevertheless risks quickening a dangerous cycle of escalation",1,2022-01-24 08:00:39.857861+00:00,cnn,Gas Russia Russian
The US says it has the same evidence as the UK regarding Russia's plan to install a friendly government in Ukraine,1,2022-01-23 08:00:27.409805+00:00,cnn,Ukraine Russia Russian
The West fears Russia is about to invade Ukraine. But that's not the way it looks if you're watching state TV in Moscow.,1,2022-01-26 08:00:29.540742+00:00,cnn,Ukraine Russia Russian
"The order comes as Russian troops mass at Ukraine's border, Pentagon spokesman says",1,2022-01-24 20:00:45.155975+00:00,cnn,Ukraine Aid Us Embassy
"F-16 Sale Could Mend U.S., Turkey Ties, but Tension With Russia Intrudes",1,2022-01-22 20:00:09.123358+00:00,wsj,Gas Russia Russian
"In Ukraine, Even a Radioactive ‘Wasteland’ Must Be Defended",1,2022-01-23 08:00:12.134036+00:00,nytimes,Ukraine Russia Russian
See where Russia has increased its military buildup near the Ukrainian border.,1,2022-01-28 08:00:09.564495+00:00,nytimes,Ukraine Russia Russian
"As the West Warns of a Russian Attack, Ukraine Sends a Different Message",1,2022-01-26 08:00:12.395938+00:00,nytimes,Ukraine Russia Russian
Opinion: Putin's big miscalculation,2,2022-01-23 08:00:27.409805+00:00,cnn,Putin Russia
Biden briefed on troop options amid Russia-Ukraine buildup,2,2022-01-24 08:00:39.857861+00:00,cnn,Biden Russia Troops Ukraine
"Russian naval exercises off Ireland's coast 'not welcome,' says Foreign Minister",2,2022-01-24 20:00:45.155975+00:00,cnn,Nato Ambassador Responses Russian Naval
U.S. Delivers Response to Russian Demands,2,2022-01-27 08:00:07.650926+00:00,wsj,Gas Russia Russian
"Russia Plots to Replace Ukraine Government, U.K. Says",2,2022-01-23 08:00:08.061704+00:00,wsj,Ukraine Russia Russian
U.S. Tells Diplomats’ Families to Leave Ukraine,2,2022-01-24 08:00:06.555631+00:00,wsj,Ukraine Aid Us Embassy
The U.S. plans to bolster Europe’s fuel supply to blunt the threat of a Russian cutoff.,2,2022-01-26 08:00:12.395938+00:00,nytimes,Gas Russia Russian
The new U.S. ambassador to NATO filled a post that was empty for a year. Now she’s tasked with the Russia crisis.,2,2022-01-28 08:00:09.564495+00:00,nytimes,Nato Ambassador Responses Russian Naval
State Department reduces staff at US embassy in Ukraine,3,2022-01-24 08:00:39.857861+00:00,cnn,Ukraine Aid Us Embassy
Analysis: Biden shifts course as Putin considers invading Ukraine,3,2022-01-24 20:00:45.155975+00:00,cnn,Biden Russia Troops Ukraine
Biden says no one knows what Putin will do after White House called Russian invasion of Ukraine 'imminent',3,2022-01-26 08:00:29.540742+00:00,cnn,Biden Russia Troops Ukraine
"F-16 Sale Could Mend U.S., Turkey Ties, but Tension With Russia Intrudes",3,2022-01-23 08:00:08.061704+00:00,wsj,Gas Russia Russian
Germany’s Reliance on Russian Gas Limits Europe’s Options in Ukraine Crisis,3,2022-01-23 20:00:09.882452+00:00,wsj,Gas Russia Russian
Russia Standoff Prompts Europe to Enlist U.S. Help Securing Gas,3,2022-01-28 08:00:08.331303+00:00,wsj,Gas Russia Russian
Russia has stepped up its propaganda war and pushed out a disinformation campaign amid tensions with Ukraine.,3,2022-01-26 08:00:12.395938+00:00,nytimes,Ukraine Russia Russian
Opinion: What will Ukrainians do if Russia attacks?,4,2022-01-24 20:00:45.155975+00:00,cnn,Ukraine Russia Russian
Blinken doubles down on warning to Putin,4,2022-01-24 08:00:39.857861+00:00,cnn,Putin Russia
Former secretary of state praises Putin during time of high tension with Russia,4,2022-01-26 08:00:29.540742+00:00,cnn,Putin Russia
Biden Weighs Deploying Thousands of Troops to Eastern Europe and Baltics,4,2022-01-24 08:00:10.075362+00:00,nytimes,Biden Russia Troops Ukraine
Russia to Germany pipeline has become what the two countries insisted it would never be,5,2022-01-26 08:00:29.540742+00:00,cnn,Gas Russia Russian
First US shipment of security assistance arrives in Ukraine,5,2022-01-23 08:00:27.409805+00:00,cnn,Ukraine Aid Us Embassy
Ukraine receives second weapons shipment from US,5,2022-01-24 08:00:39.857861+00:00,cnn,Ukraine Aid Us Embassy
"On the Brink of War With Russia, Ukrainians Are Resigned and Prepared",5,2022-01-24 20:00:09.279597+00:00,wsj,Ukraine Russia Russian
"In Ukraine Talks, Who Is Playing for Time?",5,2022-01-22 20:00:09.123358+00:00,wsj,Ukraine Russia Russian
Bongino: Russia-Ukraine conflict is not our war,5,2022-01-23 08:01:09.461015+00:00,foxnews,Ukraine Russia Russian
Gen. Milley says if forces were unleashed on Ukraine it would be ‘horrific’ and ‘not neccesary’,5,2022-01-29 08:01:15.779367+00:00,foxnews,Ukraine Russia Russian
Eric Shawn: Pushing back on Vladimir Putin with diplomacy,5,2022-01-23 20:01:26.254078+00:00,foxnews,Putin Russia
U.S. Orders Family Members of Embassy Staff to Leave Ukraine,5,2022-01-24 08:00:10.075362+00:00,nytimes,Ukraine Aid Us Embassy
"NATO is sending more jets and ships to Eastern Europe, signaling growing fears of a potential Russian threat.",5,2022-01-24 20:00:14.943492+00:00,nytimes,Nato Ambassador Responses Russian Naval
"U.S. rebuffs sanctioning Russia now, wants to preserve deterrence ",5,2022-01-23 20:01:21.942829+00:00,reuters,Gas Russia Russian
Opinion: What will Ukrainians do if Russia attacks?,6,2022-01-26 08:00:29.540742+00:00,cnn,Ukraine Russia Russian
Senator on Putin's 'master plan',6,2022-01-23 08:00:27.409805+00:00,cnn,Putin Russia
Russian media portrays US as unreliable partner amid Ukraine conflict,6,2022-01-24 20:01:32.279082+00:00,foxnews,Ukraine Russia Russian
Jake Auchincloss: America needs to hang ‘severe sanctions’ over Putin’s head,6,2022-01-23 20:01:26.254078+00:00,foxnews,Putin Russia
U.S. Offers Written Response to Russian Demands,6,2022-01-27 08:00:12.167800+00:00,nytimes,Gas Russia Russian
Britain Pursues More Muscular Role in Standoff With Russia on Ukraine,6,2022-01-23 20:00:14.210917+00:00,nytimes,Ukraine Russia Russian
"Britain is pursuing a bigger role in the Russia-Ukraine crisis, even as scandals besiege Prime Minister Boris Johnson.",6,2022-01-24 08:00:10.075362+00:00,nytimes,Ukraine Russia Russian
The Russia-Ukraine situation is complicated -- but here's what we know,7,2022-01-23 08:00:27.409805+00:00,cnn,Ukraine Russia Russian
CNN Exclusive Photos from the front lines as Ukrainians brace for possible attack,7,2022-01-24 20:00:45.155975+00:00,cnn,Ukraine Russia Russian
Senator on Putin's 'master plan',7,2022-01-24 08:00:39.857861+00:00,cnn,Putin Russia
Biden says he'll move troops to Eastern Europe as top general warns of 'horrific' outcome if Russia invades ,7,2022-01-29 08:00:28.307660+00:00,cnn,Biden Russia Troops Ukraine
Ukrainian City Tries to Ward Off Russia by Promising a Better Future,7,2022-01-26 08:00:08.054501+00:00,wsj,Ukraine Russia Russian
Morgan Ortagus: US has ‘wasted’ a year on Russia as Putin asserts energy independence over Eastern Europe,7,2022-01-24 20:01:32.279082+00:00,foxnews,Putin Russia
"US putting together 'global' strategy to increase gas production if Russia invades Ukraine, officials say ",8,2022-01-23 20:00:33.060104+00:00,cnn,Gas Russia Russian
New discord between Ukraine and US plays right into Putin's hands,8,2022-01-28 08:00:28.707052+00:00,cnn,Ukraine Russia Russian
Russia and Ukraine agree to continue ceasefire talks ,8,2022-01-27 08:00:29.971361+00:00,cnn,Ukraine Russia Russian
Biden needs a strategy to scare Putin: Ortagus,8,2022-01-24 08:01:16.490186+00:00,foxnews,Putin Russia
"A soldier in Ukraine killed five fellow soldiers at a factory “for undetermined reasons,” the police said.",8,2022-01-27 08:00:12.167800+00:00,nytimes,Ukraine Russia Russian
Russia-Ukraine standoff is 'display of American weakness': Rep. Budd,9,2022-01-23 08:01:09.461015+00:00,foxnews,Ukraine Russia Russian
Fears grow over Russian invasion of Ukraine,9,2022-01-22 20:01:14.147227+00:00,foxnews,Ukraine Russia Russian
Stu Scheller speaks out on Ukraine-Russia tensions,9,2022-01-29 08:01:15.779367+00:00,foxnews,Ukraine Russia Russian
"Defend Chernobyl During an Invasion? Why Bother, Some Ukrainians Ask.",9,2022-01-22 20:00:15.425842+00:00,nytimes,Ukraine Russia Russian
Ukraine’s Bulked-Up Military Is Still Outgunned by Russia,10,2022-01-28 08:00:08.331303+00:00,wsj,Ukraine Russia Russian
US 'lethal aid' arrives in Ukraine as Russia threat escalates,11,2022-01-24 20:01:32.279082+00:00,foxnews,Ukraine Aid Us Embassy
The U.S. said it would respond in writing to Russia’s demands. Here’s a recap of the day’s developments.,11,2022-01-22 08:00:10.525937+00:00,nytimes,Gas Russia Russian
Jeremy Hunt slams Biden's 'incompetent leadership' on Russia-Ukraine conflict,13,2022-01-24 20:01:32.279082+00:00,foxnews,Biden Russia Troops Ukraine
Sen. Wicker on Ukraine visit: Putin is the 'neighborhood bully',14,2022-01-24 08:01:16.490186+00:00,foxnews,Ukraine Russia Russian
Putin Has the U.S. Right Where He Wants It,14,2022-01-24 20:00:14.943492+00:00,nytimes,Putin Russia
"Russia expert lays out Putin's 'menu of options' regarding Ukraine, warns US vulnerability being tested",15,2022-01-26 08:01:11.955978+00:00,foxnews,Ukraine Russia Russian
Tomi Lahren: Why is defending Ukraine's border the priority over securing our own?,15,2022-01-27 08:01:06.071183+00:00,foxnews,Ukraine Russia Russian
WATCH: Pentagon Press Secretary Kirby delivers remarks after US delivers lethal aid to Ukraine,15,2022-01-24 20:01:32.279082+00:00,foxnews,Ukraine Aid Us Embassy
Pompeo on Russia: ‘They don’t see President Biden as credible’,15,2022-01-23 20:01:26.254078+00:00,foxnews,Biden Russia Troops Ukraine
U.S. senators writing bill with 'substantial' Ukraine defense aid increases ,15,2022-01-28 08:01:09.347827+00:00,reuters,Ukraine Aid Us Embassy
WATCH: State Dept Spokesman Ned Price briefs the press after US implores Americans to leave Ukraine,16,2022-01-24 20:01:32.279082+00:00,foxnews,Gas Russia Russian
Biden signals plans for US troops as Russia boosts military around Ukraine,16,2022-01-29 08:01:15.779367+00:00,foxnews,Biden Russia Troops Ukraine
Adam Schiff says intel shows 'imminent' threat of Russian invasion of Ukraine,17,2022-01-23 20:01:26.254078+00:00,foxnews,Ukraine Russia Russian
It’s Not Just About Ukraine. Putin Wants to Evict the U.S. From Europe.,17,2022-01-24 08:00:10.075362+00:00,nytimes,Ukraine Russia Russian
Putin Is Caught in a Trap of His Own Making,17,2022-01-29 08:00:09.959837+00:00,nytimes,Putin Russia
US has 'no choice' but to stand up to Russian aggression in Ukraine: Bernard-Henri Levy,18,2022-01-28 08:01:11.795000+00:00,foxnews,Ukraine Russia Russian
POMPEO: Russia-Ukraine conflict puts Biden administration's weakness on full display,18,2022-01-24 20:01:32.279082+00:00,foxnews,Biden Russia Troops Ukraine
How to Retreat From Ukraine,18,2022-01-23 08:00:12.134036+00:00,nytimes,Ukraine Russia Russian
Putin Is Caught in a Trap of His Own Making,18,2022-01-28 08:00:09.564495+00:00,nytimes,Putin Russia
Did We Miss Biden’s Most Important Remark About Russia?,18,2022-01-26 08:00:12.395938+00:00,nytimes,Biden Russia Troops Ukraine
"Asia shares brace for hawkish Fed, wary of potential Ukraine conflict ",20,2022-01-24 08:01:14.469012+00:00,reuters,Gas Russia Russian
UK accuses Kremlin of trying to install pro-Russian leader in Ukraine ,20,2022-01-23 08:01:06.357064+00:00,reuters,Ukraine Russia Russian
Political advisers to hold four-way talks on Ukraine in Paris ,21,2022-01-23 08:01:06.357064+00:00,reuters,Ukraine Russia Russian
Republican leader's grim prediction about when Russia will invade Ukraine,22,2022-01-22 08:01:14.493980+00:00,foxnews,Ukraine Russia Russian
German navy chief resigns over Putin comments ,22,2022-01-23 08:01:06.357064+00:00,reuters,Putin Russia
Residents of Ukrainian city near Russian border brace for the unknown ,23,2022-01-23 08:01:06.357064+00:00,reuters,Ukraine Russia Russian
"North Korea considers ‘resuming’ weapons tests, dropping concessions after US sanctions",24,2022-01-22 20:01:14.147227+00:00,foxnews,Gas Russia Russian
"Russia Isn’t a Dead Petrostate, and Putin Isn’t Going Anywhere",24,2022-01-28 08:00:09.564495+00:00,nytimes,Putin Russia
"Russia: US, NATO’s responses to security demands offer ‘little ground for optimism’: LIVE UPDATES",26,2022-01-28 08:01:11.795000+00:00,foxnews,Nato Ambassador Responses Russian Naval
Putin Has the U.S. Right Where He Wants It,27,2022-01-26 08:00:12.395938+00:00,nytimes,Putin Russia
Did We Miss Biden’s Most Important Remark About Russia?,28,2022-01-27 08:00:12.167800+00:00,nytimes,Biden Russia Troops Ukraine
S.Korea says Iran to regain UN vote after delinquent dues paid with frozen funds ,28,2022-01-23 08:01:06.357064+00:00,reuters,Gas Russia Russian
"Russia Isn’t a Dead Petrostate, and Putin Isn’t Going Anywhere",29,2022-01-29 08:00:09.959837+00:00,nytimes,Putin Russia
How to Retreat From Ukraine,30,2022-01-24 08:00:10.075362+00:00,nytimes,Ukraine Russia Russian
"Column: European gas prices incorporate low, diminishing Ukraine risk: Kemp ",30,2022-01-26 08:01:09.201839+00:00,reuters,Gas Russia Russian
U.S. Military to Expand in Europe to Counter Russia,0,2022-06-29 14:01:00.342372+00:00,wsj,Nato Russia China Readiness
West’s Challenges in Tackling Russia Exposed at G-7,0,2022-06-28 14:01:02.842439+00:00,wsj,Adopt Oil Spigots Ukraine Expected
NATO makes big move with Russia's neighbors in wake of Ukraine war,1,2022-06-29 14:00:24.613896+00:00,foxnews,Nato Russia China Readiness
G-7 nations escalate energy war with pursuit of price cap on Russian oil,1,2022-06-28 14:00:48.110471+00:00,washingtonexaminer,Oil Cap Russian
G-7 Expected to Adopt New Russia Sanctions,1,2022-06-27 14:01:32.098361+00:00,wsj,Adopt Oil Spigots Ukraine Expected
Russia Defaults on Foreign Debt for First Time Since 1918,2,2022-06-27 14:01:32.098361+00:00,wsj,Sanctions Russia Default Foreign
"Column: China moves to buy more Russian oil, but will it help or hinder? ",2,2022-06-30 14:01:42.725913+00:00,reuters,Oil Cap Russian
Russian Troops Withdraw From Ukraine’s Snake Island,2,2022-06-30 14:01:06.670074+00:00,wsj,Snake Island Russian Forces
Russia expands U.S. sanctions list to include Biden's wife and daughter ,3,2022-06-28 14:01:42.147181+00:00,reuters,Sanctions Russia Default Foreign
"Ukraine Drives Russian Forces From Snake Island, a Setback for Moscow",3,2022-06-30 14:00:40.529347+00:00,nytimes,Snake Island Russian Forces
A More Muscular NATO Emerges as the West Confronts Russia and China,4,2022-06-30 01:00:34.929384+00:00,nytimes,Nato Russia China Readiness
"Missing Payment, Russia Signals First Default on Foreign Debt Since 1918",4,2022-06-27 14:00:31.100726+00:00,nytimes,Sanctions Russia Default Foreign
Russia hits Kyiv with first missile strikes in months,4,2022-06-26 14:01:31.839384+00:00,washingtonexaminer,Kyiv Missiles Russian
Russian forces withdraw from Ukraine’s Snake Island,4,2022-06-30 14:00:59.569053+00:00,washingtonpost,Snake Island Russian Forces
Analysis: A Confident Vladimir Putin Shifts Out of Wartime Crisis Mode,4,2022-06-30 14:00:40.529347+00:00,nytimes,Putin Would Warns Crisis
G7 Oil Plan Aims to Punish Russia and Limit Economic Havoc,5,2022-06-27 14:00:31.100726+00:00,nytimes,Oil Cap Russian
“Love what you are doing”: A Ukrainian military leader in the embattled city of Mykolaiv is a symbol of resistance.,5,2022-06-30 14:00:40.529347+00:00,nytimes,Ukraine
Ukrainian officials announced the largest prisoner exchange since Russia’s invasion. Get updates on the war.,5,2022-06-30 01:00:34.929384+00:00,nytimes,Ukraine
Piers Morgan warns Putin's war on Ukraine 'causing global economic meltdown',5,2022-06-27 14:00:21.237672+00:00,foxnews,Putin Would Warns Crisis
NATO’s summit shows the alliance is strong. But it must be much stronger.,6,2022-07-01 01:00:54.765161+00:00,washingtonpost,Nato Russia China Readiness
West misjudged Russia's ability to weather sanctions,6,2022-06-27 14:01:20.335871+00:00,washingtonexaminer,Sanctions Russia Default Foreign
"Russian Missiles Kill 20 in Residential Area in Odessa Region, Ukraine Says",6,2022-07-01 14:01:07.401061+00:00,wsj,Kyiv Missiles Russian
Keane: Ukraine will have opportunity to go on offensive in coming weeks,6,2022-07-01 14:00:27.050863+00:00,foxnews,Ukraine
NATO sends nuke retaliation warning to Russia and China,7,2022-06-30 01:00:44.715260+00:00,washingtonexaminer,Nato Russia China Readiness
Russia launched a barrage of missiles across Ukraine. We’re tracking where the strikes were reported.,7,2022-06-27 01:00:36.463023+00:00,nytimes,Kyiv Missiles Russian
"NATO poised to take historic action on strategy, enlargement, and Ukraine",8,2022-06-29 14:00:45.469797+00:00,washingtonexaminer,Nato Russia China Readiness
"On the Front Lines, Communication Breakdowns Prove Lethal for Ukraine",8,2022-06-28 14:00:37.342855+00:00,nytimes,Ukraine
Steve Gruber on providing aid to Ukraine: Why is America always ‘picking up the checkbook?’,8,2022-06-27 01:00:26.601010+00:00,foxnews,Ukraine
There is only 'one thing' that would make Putin 'give in': Military analyst,8,2022-06-26 01:00:26.527973+00:00,foxnews,Putin Would Warns Crisis
Former Defense Secretary Mattis: 'We're watching Russia wither before our eyes',8,2022-07-01 14:00:37.773375+00:00,cnn,Putin Would Warns Crisis
Putin can fund his war machine 'indefinitely' until Biden opens up US oil spigots: Rep. Waltz,8,2022-06-28 14:00:26.322088+00:00,foxnews,Adopt Oil Spigots Ukraine Expected
"U.S. confident Nato's strategy document will be ""strong"" on China, official says ",9,2022-06-26 14:01:42.817641+00:00,reuters,Nato Russia China Readiness
"As NATO concluded its meeting, Western leaders prepared to sell their pledges at home. Get updates on the war in Ukraine.",9,2022-07-01 01:00:36.239844+00:00,nytimes,Nato Russia China Readiness
"NATO is united on Ukraine. Good, but plenty could still go wrong.",9,2022-06-30 01:00:52.623485+00:00,washingtonpost,Nato Russia China Readiness
Russia just defaulted on its foreign debt. It took much longer than expected,9,2022-06-27 14:01:11.238075+00:00,cnn,Sanctions Russia Default Foreign
G7 Draws to Close With Deal Over Price Cap on Russian Oil,9,2022-06-28 14:00:37.342855+00:00,nytimes,Oil Cap Russian
Pompeo signals 2024 ambitions with ad in key state,10,2022-06-30 14:00:50.737038+00:00,washingtonexaminer,Nato Russia China Readiness
Western Nations Seek a New Way to Punish Russia,10,2022-06-28 01:00:35.639327+00:00,nytimes,Sanctions Russia Default Foreign
"Global support for Ukraine is all ’rhetoric, no substance’: Rebeccah Heinrichs",10,2022-06-26 14:00:27.740719+00:00,foxnews,Ukraine
"'Too early' to establish outpost on Snake Island, Ukrainian military official says",10,2022-07-01 01:00:38.076618+00:00,cnn,Snake Island Russian Forces
China accuses NATO of 'provocative speech and acts' deepening risk of conflict,11,2022-07-01 14:00:53.050005+00:00,washingtonexaminer,Nato Russia China Readiness
Gas Prices Test American Appetite for New Cold War With Russia,11,2022-06-29 14:01:00.342372+00:00,wsj,Oil Cap Russian
Boris Johnson warns Russian victory in Ukraine would be 'absolutely catastrophic',11,2022-06-26 14:01:23.642074+00:00,cnn,Putin Would Warns Crisis
The West faces a tough choice as its sanctions on Russia exacerbate a global food crisis.,12,2022-06-28 01:00:35.639327+00:00,nytimes,Sanctions Russia Default Foreign
Sanctions Push Russia to First Foreign Default Since Bolshevik Revolution,12,2022-06-27 01:01:31.066882+00:00,wsj,Sanctions Russia Default Foreign
Russian Missiles Strike Kyiv Homes,12,2022-06-26 14:01:47.514486+00:00,wsj,Kyiv Missiles Russian
Ukraine defeating Russia is the best result for the ‘free world’: Member of Ukrainian Parliament,12,2022-06-26 01:00:26.527973+00:00,foxnews,Ukraine
Ukraine retakes Snake Island as Russian missiles hit civilian targets in Odesa,12,2022-07-01 14:00:53.050005+00:00,washingtonexaminer,Snake Island Russian Forces
Ukraine Troops Retreat From Severodonetsk After Long Battle,12,2022-06-25 01:01:15.350463+00:00,wsj,Snake Island Russian Forces
